pincode,state,countryCode
"=""110001""",DELHI,IN
"=""110002""",DELHI,IN
"=""110003""",DELHI,IN
"=""110004""",DELHI,IN
"=""110005""",DELHI,IN
"=""110006""",DELHI,IN
"=""110007""",DELHI,IN
"=""110008""",DELHI,IN
"=""110009""",DELHI,IN
"=""110010""",DELHI,IN
"=""110011""",DELHI,IN
"=""110012""",DELHI,IN
"=""110013""",DELHI,IN
"=""110014""",DELHI,IN
"=""110015""",DELHI,IN
"=""110016""",DELHI,IN
"=""110017""",DELHI,IN
"=""110018""",DELHI,IN
"=""110019""",DELHI,IN
"=""110020""",DELHI,IN
"=""110021""",DELHI,IN
"=""110022""",DELHI,IN
"=""110023""",DELHI,IN
"=""110024""",DELHI,IN
"=""110025""",DELHI,IN
"=""110026""",DELHI,IN
"=""110027""",DELHI,IN
"=""110028""",DELHI,IN
"=""110029""",DELHI,IN
"=""110030""",DELHI,IN
"=""110031""",DELHI,IN
"=""110032""",DELHI,IN
"=""110033""",DELHI,IN
"=""110034""",DELHI,IN
"=""110035""",DELHI,IN
"=""110036""",DELHI,IN
"=""110037""",DELHI,IN
"=""110038""",DELHI,IN
"=""110039""",DELHI,IN
"=""110040""",DELHI,IN
"=""110041""",DELHI,IN
"=""110042""",DELHI,IN
"=""110043""",DELHI,IN
"=""110044""",DELHI,IN
"=""110045""",DELHI,IN
"=""110046""",DELHI,IN
"=""110047""",DELHI,IN
"=""110048""",DELHI,IN
"=""110049""",DELHI,IN
"=""110051""",DELHI,IN
"=""110052""",DELHI,IN
"=""110053""",DELHI,IN
"=""110054""",DELHI,IN
"=""110055""",DELHI,IN
"=""110056""",DELHI,IN
"=""110057""",DELHI,IN
"=""110058""",DELHI,IN
"=""110059""",DELHI,IN
"=""110060""",DELHI,IN
"=""110061""",DELHI,IN
"=""110062""",DELHI,IN
"=""110063""",DELHI,IN
"=""110064""",DELHI,IN
"=""110065""",DELHI,IN
"=""110066""",DELHI,IN
"=""110067""",DELHI,IN
"=""110068""",DELHI,IN
"=""110069""",DELHI,IN
"=""110070""",DELHI,IN
"=""110071""",DELHI,IN
"=""110072""",DELHI,IN
"=""110073""",DELHI,IN
"=""110074""",DELHI,IN
