Locality,Sub_locality,Street,Code
16eme Mille,Cite Anoushka,,52601
16eme Mille,Cite Mon Bois,,52602
16eme Mille,Coriolis,,52603
16eme Mille,Mon Bois_cnt_ubs_laiterie,,52604
16eme Mille,Morc Domah,,52605
16eme Mille,morc Sookary,,52606
16eme Mille,Morcellement RAMPHUL 1,,52607
16eme Mille,Morcellement RAMPHUL 2,,52608
16eme Mille,Seizieme mile,,52609
Albion,Albion,,91001
Albion,Camp Creoles,,91002
Albion,La Croisette,,91003
Albion,Morc Beerjeeraz,,91004
Albion,Morc de Chazal,,91005
Albion,Morc Raffray,,91006
Albion,Morc Terre Albion,,91007
Albion,Splendid View,,91008
Albion,Splendid Village,,91009
Amitie Gokhoola,Amitie,,31501
Amitie Gokhoola,Cite EDC,,31502
Amitie Gokhoola,Gokhoola,,31503
Amitie Gokhoola,Morc VRS,,31504
Arsenal,Arsenal,,20101
Arsenal,Domaine Les Cascades,,20102
Arsenal,Morc Poonith,,20103
Arsenal,Morc Promo Holiday,,20104
Arsenal,Morc Ramjan,,20105
Arsenal,Morc_Royal Park,,20106
Arsenal,Morc Sobrun,,20107
Arsenal,Paul _Virginie,,20108
Arsenal,Petit Gamin,,20109
Arsenal,Riviere Citron,,20110
Arsenal,St Joseph,,20111
Arsenal,Morc_Baie aux Tortues,,21307
Arsenal,Morc_Le Vieux Banian,,21308
Baie Du Cap,Baie Du Cap,,60101
Baie Du Cap,Choisy,,60102
Bambous,Allee Tamarin,,90101
Bambous,Bambous,,90102
Bambous,Eaux Bonnes,,90103
Bambous,Geoffroy,,90104
Bambous,La Ferme,,90105
Bambous,Mangues Vert Doux,,90106
Bambous,Mon Repos,,90107
Bambous,Morc Eaux Bonnes,,90108
Bambous,Vaudagne,,90109
Bambous Virieux,Bambous Virieux,,50101
Bambous Virieux,Debarcadere,,50102
Bambous Virieux,Les Mares,,50103
Bambous Virieux,Pointe Bambous,,50104
Bananes,Bananes,,50201
Bananes,Eau Bleue Reservoir,,50202
Beau Bassin,BEAU BASSIN CENTRE 1,ABBE MAZUY,71501
Beau Bassin,BEAU BASSIN CENTRE 1,BRODILE,71501
Beau Bassin,BEAU BASSIN CENTRE 1,DE ROSNAY _Royal to Esaie David,71501
Beau Bassin,BEAU BASSIN CENTRE 1,DE ROSNAY_from P_Hennessy to Esaie David Northern side,71501
Beau Bassin,BEAU BASSIN CENTRE 1,Dessenes St,71501
Beau Bassin,BEAU BASSIN CENTRE 1,FURGUSON,71501
Beau Bassin,BEAU BASSIN CENTRE 1,IMP MGR LEEN,71501
Beau Bassin,BEAU BASSIN CENTRE 1,IMP MONNERON,71501
Beau Bassin,BEAU BASSIN CENTRE 1,IMP PERE LAVAL,71501
Beau Bassin,BEAU BASSIN CENTRE 1,IMP VENKATASAMY,71501
Beau Bassin,BEAU BASSIN CENTRE 1,LORQUET,71501
Beau Bassin,BEAU BASSIN CENTRE 1,Meldrum _Southern Side,71501
Beau Bassin,BEAU BASSIN CENTRE 1,MGR LEEN STREET,71501
Beau Bassin,BEAU BASSIN CENTRE 1,MONNERON,71501
Beau Bassin,BEAU BASSIN CENTRE 1,MONTGOMERY,71501
Beau Bassin,BEAU BASSIN CENTRE 1,P_Hennessy_east side from Meldrum to De Rosnay,71501
Beau Bassin,BEAU BASSIN CENTRE 1,Pere Laval from Royal Rd to Morc Avrillon,71501
Beau Bassin,BEAU BASSIN CENTRE 1,Royal from Pere Laval to Meldrum,71501
Beau Bassin,BEAU BASSIN CENTRE 1,STEIN,71501
Beau Bassin,BEAU BASSIN CENTRE 1,VENKATASAMY LANE,71501
Beau Bassin,BEAU BASSIN CENTRE 2,ABBE DE LA CAILLE,71502
Beau Bassin,BEAU BASSIN CENTRE 2,ARNAUD,71502
Beau Bassin,BEAU BASSIN CENTRE 2,DE MASCARENHAS,71502
